T05 — Under Stress,,,,,,
"Learning to avoid stress time slots that weaken insulin — and using exercise to compensate when avoidance isn't possible.",,,,,,
,,,,,,
Level-wide Conditions,,,,,,
Parameter,,,Value,,,
Defeat,,,Disabled,,,
Stress slots,,,Active (vary by day),,,
Medications,,,Unavailable,,,
BOOST button,,,Visible,,,
,,,,,,
Day 1,,,,,,
Parameter,,,Value,,,
Inventory,,,"🍌 Banana (1 WP)  ·  🍪 Cookie (2 WP)",,,
Available interventions,,,"🏃 Heavy Run ×1 (4 WP)  ·  ☕ Take a Break ×1 (refunds 1 WP)",,,
Pre-placed,,,"🍕 Pizza @ Slot 10 (13:00, locked)",,,
Stress slots,,,Slot 12 (14:00),,,
Open slots,,,"2 (9:00)  ·  4 (10:00)  ·  6 (11:00)  ·  14 (15:00)  ·  16 (16:00)",,,
WP budget,,,6,,,
Kcal budget,,,1400,,,
Starting BG,,,100 mg/dL,,,
"WP reference: Banana 1 WP + Cookie 2 WP + Heavy Run 4 WP − Take a Break 1 WP = 6 WP net (budget: 6). Take a Break enables Heavy Run alongside both foods.",,,,,,
,,,,,,
State ID,State Name,Flags / Overrides,Alice,Dialogue,Advance,Notes
T7D1-1,StressSlotIntro,,concerned,"""Some time slots are under stress, weakening your insulin!""",[Tap],
T7D1-2,StressSlotSpotlight,"highlight: stress-slots (spotlight)",concerned,"""See the red column? That's a stress slot. Insulin rate drops by 1 there — food placed here will spike higher and decay slower!""",[Tap],
T7D1-3,InsulinBarsHint,"highlight: insulin-bars (glow)",thinking,"""Normally insulin absorbs 2 cubes per column. In the stress zone it only absorbs 1 — glucose stays higher for longer.""",[Tap],
T7D1-4,PizzaPreplacedHint,"highlight: stress-slots (pulse)",neutral,"""The pizza is already placed. Your job: put banana and cookie OUTSIDE the red zone.""",[Tap],
T7D1-5,DragToSafeSlot,"highlight: ship-inventory (glow)",happy,"""Drag your foods to safe slots — any slot without a red tint works.""",[Tap],
T7D1-6,PlaceFirstFood,,—,—,[Drag any food card to a non-stress slot],No bubble
T7D1-7,PlaceSecondFood,,—,—,[Drag second food card to a non-stress slot],No bubble
T7D1-8,SubmitHint,"highlight: Submit (pulse)",happy,"""Nice! Submit when you're ready to see how it went.""",[Tap → then Submit freely],
,,,,,,
Day 2,,,,,,
Parameter,,,Value,,,
Inventory,,,"🍌 Banana (1 WP)  ·  🫘 Chickpeas (3 WP)  ·  🍪 Cookie (2 WP)",,,
Available interventions,,,"🏃 Heavy Run ×1 (4 WP)  ·  🚶 Light Walk ×1 (2 WP)  ·  😴 Take a Rest ×1 (refunds 2 WP · 2 slots)",,,
Pre-placed,,,"🧁 Chocolate Muffin @ Slot 8 (12:00, locked)",,,
Stress slots,,,"Slots 12–14 (14:00–15:00)",,,
Open slots,,,"2 (9:00)  ·  4 (10:00)  ·  6 (11:00)  ·  10 (13:00)  ·  16 (16:00)  ·  18 (17:00)",,,
WP budget,,,10,,,
Kcal budget,,,2000,,,
Starting BG,,,100 mg/dL,,,
"WP reference: Banana 1 WP + Chickpeas 3 WP + Cookie 2 WP + Heavy Run 4 WP + Light Walk 2 WP − Take a Rest 2 WP = 10 WP net (budget: 10). Take a Rest is required to fit the full plan.",,,,,,
,,,,,,
State ID,State Name,Flags / Overrides,Alice,Dialogue,Advance,Notes
T7D2-1,ThreeStressZonesIntro,,concerned,"""Now there are THREE stress zones. Plan food placement carefully!""",[Tap],
T7D2-2,StressZonesWarning,"highlight: stress-slots (spotlight)",concerned,"""These red zones weaken your insulin — try to place food outside them!""",[Tap],
T7D2-3,InterventionHint,"highlight: intervention-inventory (glow)",neutral,"""You have a rest and a walk today. Rest recovers WP — walk fights any stray glucose spikes.""",[Tap],
T7D2-4,StressCompensationTip,,thinking,"""If you must place something in a stress zone, use the walk to compensate!""",[Tap],
T7D2-5,GoodLuckHint,,happy,"""Good luck — 2★ is achievable if you avoid the red zones.""",[Tap],
,,,,,,
Day 3 — Free Play,,,,,,
Parameter,,,Value,,,
Inventory,,,"🍪 Cookie (2 WP)  ·  🫘 Chickpeas (3 WP)  ·  🥛 Greek Yogurt (3 WP)  ·  🥣 Oatmeal (4 WP)",,,
Available interventions,,,"🚶 Light Walk ×1 (2 WP)  ·  😴 Take a Rest ×1 (refunds 2 WP · 2 slots)",,,
Pre-placed,,,"🫐 Mixed Berries @ Slot 10 (13:00, locked · stress zone)  ·  🍿 Popcorn @ Slot 14 (15:00, locked)",,,
Stress slots,,,"Slot 10 (13:00, pre-placed)  ·  Slot 11 (13:30)  ·  Slot 15 (15:30)",,,
Open slots,,,"2 (9:00)  ·  4 (10:00)  ·  6 (11:00)  ·  12 (14:00)  ·  16 (16:00)  ·  18 (17:00)",,,
WP budget,,,12,,,
Kcal budget,,,2000,,,
Starting BG,,,100 mg/dL,,,
"WP reference: Cookie 2 WP + Chickpeas 3 WP + Greek Yogurt 3 WP + Oatmeal 4 WP + Light Walk 2 WP − Take a Rest 2 WP = 12 WP net (budget: 12). Take a Rest required to fit full plan.",,,,,,
,,,,,,
(No tutorial steps — free-play puzzle),,,,,,
